Tweet,Hate,Fake
"@sudhirchaudhary Till now I have not found GPS nano chip in the Rs 2,000 note.",0,0
"@Gulamane_raza @MustakimRazvi hey cut it, if something happened to you it will not be known, you just keep on acting like goats, you bastards, corona spread because of your Tablighi Jamaat and during Bhoomi Poojan everyone was screened and went through full medical checkup, you Bhosdiwals",1,1
"@RajatSharmaLive This is all a conspiracy... How can anyone go to his home without any luggage... See, among these people there will be a lot of Corona patients who left Delhi.",1,1
"come on go, you had already become a slave when your grandfather used to wear salwar on the tip of the sword, your dress is sometimes Hindu, sometimes Muslim",1,0
Now who is spreading the rumour that population control medicine has been mixed in Shaheen Bagh's biryani?,0,0
"@FilmyKhichdii you can't improve it.... by the way, the boycott is starting since long, HINDUSTAN ka brother's picture is coming on Eid, do it quickly, we have to make it a flop like PATHAAN.... just like brother saved Sarrok's career, he will save yours too.... J@@hil nafarti @FilmyKhichdii dal",1,0
"Hindenburg did not see the collapse of 2 American banks, the bank was drowned... but Adani was seen on the seashore... because the payment was received for Adani... and a job is a job https://t.co/3TEQVXZkgf",1,0
@AcharyaPramodk If you believe that Tabligi Jamaat is responsible for corona.. then we will also believe that maybe more Muslims got sick because of Trump.,1,1
"@TweetAbhishekA Which of these people's husband, father, brother & sister are boycotting the pathan????",1,0
"..but you don't know how many Muslims have been killed in accidents. It is not a mosque but a temple...meaning something is wrong, the Hindu who does the duty is a Hindu, the one who drives the train is a Hindu, the one who gives the signal is a Hindu...and the one who kills is a Hindu, Muslim all are Hindus",0,0
"Yes we will give respect to Islam and you convert, call us Satan, run away with your shop.... Jai Shree Ram...",1,0
Yes absolutely ð¤¬ð¤¬ð¤¬ð¤¬ð¤¬,0,0
"Let me tell you, let me tell you. What should we do with our Khilari?",0,0
allah ki gand me suar to landÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ,1,0
@sargun_mehta Sargum I like you but don't jump into the issue just because you belong to that film industry because if there was so much bad in the bill then not only the farmers of Punjab but also the farmers of other states would have fully protested in their state or Khalistan.,0,0
